ukprn,provider,postcode,lad_code,lad_name,msoa_code,lsoa_code,region,ttwa_code,ttwa_name,year,rent_all,rent_2bed,house_price,ttwa_rent,ttwa_hp,nat_rent_all,nat_house_price,cpih,cost_index_rent,cost_index_hp,infl_factor,rent_factor,hp_factor,rent_factor_ttwa,hp_factor_ttwa,real_value_cpih_gbp,real_value_rent_gbp,real_value_hp_gbp,real_value_rent_ttwa_gbp,real_value_hp_ttwa_gbp
10007151,University of Lincoln,LN6 7TS,E07000138,Lincoln,E02005446,E01026132,East Midlands,E30000231,Lincoln,2025,901.5,790.9166666666666,184498.33333333334,783.3900619369368,213881.69130067568,1399.8333333333333,289432.0833333333,138,0.6440052387188951,0.6374494880059658,0.7888888888888889,0.6684229987058606,0.8064634730214364,0.7741356213017696,0.6676319481184941,3944,3342,4032,3871,3338
10007151,University of Lincoln,LN6 7TS,E07000138,Lincoln,E02005446,E01026132,East Midlands,E30000231,Lincoln,2026,946.2,831.2,185000.25,825.7596283783784,218828.7787162162,1433.4,290340.25,140.82,0.660108832147342,0.6371843035886343,0.7730909435212802,0.6368456281265412,0.8042754897178066,0.734414872655043,0.6525387157377888,3865,3184,4021,3672,3263
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2020,886.25,810.3333333333334,236319.58333333334,1143.3322353974527,370481.6673986239,1070.5,239383.33333333334,108.86666666666666,0.8278841662774404,0.9872014899394277,1,0.6799247766807711,0.6296184368977743,0.5304233831108279,0.38542865354875283,5000,3400,3148,2652,1927
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2021,907.5,828.0833333333334,253130.66666666666,1180.945212999561,389659.70666813053,1084.1666666666667,257885.25,111.60833333333333,0.8370484242890084,0.9815631823327106,0.9754349286940939,0.6640036730945822,0.5878037956681135,0.5135294555949971,0.36645885573066195,4877,3320,2939,2568,1832
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2022,944.75,858.9166666666666,279480,1234.151075977163,419025.6791831357,1129.25,281827.6666666667,120.45,0.8366172238211202,0.9916698502512764,0.9038328490383284,0.637823057246185,0.5323857401841515,0.4913905308059743,0.34077684811183157,4519,3189,2662,2457,1704
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2023,999.4166666666666,906.5833333333334,279098.6666666667,1304.445908358952,418317.864587908,1210.4166666666667,282333.5,128.63333333333333,0.8256798623063683,0.9885425097151656,0.8463332469551698,0.6029350454431752,0.5331131403947946,0.46491015720392903,0.341353459457481,4232,3015,2666,2325,1707
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2024,1094.9166666666667,993.1666666666666,275475.25,1405.03667105841,417107.5704874835,1316.0833333333333,282734.5,132.84166666666667,0.8319508643069715,0.9743248524675977,0.819521987328273,0.5503462972828982,0.5401253530640835,0.43162585348206267,0.3423439427461397,4098,2752,2701,2158,1712
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2025,1183.75,1076.9166666666667,284351.5,1504.0688405797102,427888.342482799,1399.8333333333333,289432.0833333333,138,0.8456363852839625,0.9824463712701743,0.7888888888888889,0.5090461105244632,0.523264926215148,0.40320637989245195,0.33371848693374667,3944,2545,2616,2016,1669
10007152,University of Bedfordshire,LU1 3JU,E06000032,Luton,E02006938,E01015789,East of England,E30000237,Luton,2026,1210.8,1103.8,280215.75,1538.423188405797,426404.63647343,1433.4,290340.25,140.82,0.8447048974466304,0.9651288445194905,0.7730909435212802,0.49767371434864005,0.5309878786851441,0.394202425502713,0.3348796847307411,3865,2488,2655,1971,1674
10007154,University of Nottingham,NG7 2RD,E06000018,Nottingham,E02007082,E01035507,East Midlands,E30000249,Nottingham,2020,700,636.25,148791.16666666666,672.048508382643,180975.42763806705,1070.5,239383.33333333334,108.86666666666666,0.6539000467071462,0.6215602589988163,1,0.8608333333333333,1,0.9023904446699389,0.7890256268133974,5000,4304,5000,4512,3945
